LAS ALCANTARILLAS DEL PODER,FERNANDO RUEDA, - 9788499706054  
"AL SERVICIO DE SU MAJESTAD. LA FAMILIA REAL Y LOS ESPÍAS. 50 AÑOS DE CONSPIRACIONES, MANIPULACIONES Y OCULTAMIENTOS",FERNANDO RUEDA, - 9788413842271  
1 KILO DE CULTURA GENERAL,FLORENCE BRAUNSTEIN, - 9788467046434  
LAS LIBERTADORAS,FRANCISCO MARTINEZ HOYOS, - 9789584279811  
EL TURCO,FRANCISCO VEIGA, - 9788499929712  
LA REPÚBLICA ESPAÑOLA Y LA GUERRA CIVIL,GABRIEL JACKSON, - 9788498923346  
LOS AMNÉSICOS,GERALDINE SCHWARZ, - 9788490667354  
FINGERPRINTS OF THE GODS,GRAHAM HANCOCK, - 9781446410851  
EL EXILIO INTERIOR,GUTMARO GOMEZ BRAVO, - 9788430608652  
EL CORTO VERANO DE LA ANARQUÍA,HANS MAGNUS ENZENSBERGER, - 9788433940612  
LA GUERRA CIVIL ESPAÑOLA,HUGH THOMAS, - 9788466344821  
LA ESPAÑA DE ALÁ,IGNACIO CEMBRERO, - 9788490607022  
PARTES DE GUERRA,IGNACIO MARTINEZ DE PISON, - 9788418800108  
MACARRAS IBÉRICOS,IÑAKI DOMINGUEZ, - 9788446052173  
"MORTS, QUI US HA MORT?",IÑAKI RUBIO, - 9788418857270  
CON TODO,IÑIGO ERREJON, - 9788408243809  
"TROTSKY, EL PROFETA ARMADO",ISAAC DEUTSCHER, - 9789560008145  
"TROTSKY, EL PROFETA DESARMADO",ISAAC DEUTSCHER, - 9789560008152  
"TROTSKY, EL PROFETA DESTERRADO",ISAAC DEUTSCHER, - 9789560008169  
RECONQUISTA,IVAN VELEZ, - 9788413844565  
HISTORIA DEL MUNDO,J.M. ROBERTS, - 9788499920306  
POR OTRA EDAD MEDIA,JACQUES LE GOFF, - 9788430623754  
OOPARTS. OBJETOS FUERA DE TIEMPO Y LUGAR,JAIME BARRIENTOS, - 9788417057589  
ANATOMÍA DE UN INSTANTE,JAVIER CERCAS, - 9788439726906  
FAKE NEWS DEL IMPERIO ESPAÑOL,JAVIER SANTAMARTA DEL POZO, - 9788413841519  
SIEMPRE TUVIMOS HÉROES,JAVIER SANTAMARTA DEL POZO, - 9788441438101  
EN BUSCA DE LA EDAD DE ORO,JAVIER SIERRA, - 9788408137535  
EL CHICO QUE SIGUIÓ A SU PADRE HASTA AUSCHWITZ,JEREMY DRONFIELD, - 9788408207481  
HISTORIA OXFORD DE GRECIA Y EL MUNDO HELÉNICO,JOHN BOARDMAN, - 9788413844428  
LA ORDEN,JOHN DICKIE, - 9788418619267  
ALCE NEGRO HABLA,JOHN G. NEIHARDT, - 9788412083026  
HÉROES 2,JORGE BARADIT, - 9789562626187  
BREVE HISTORIA DE LOS REINOS IBÉRICOS,JORGE MAIZ CHACON, - 9788434406452  
LA PRIVATIZACIÓN DE LA VERDAD,JORGE MAJFUD, - 9788491348887  
MATER DOLOROSA,JOSE ALVAREZ JUNCO, - 9788430615834  
EL RELATO NACIONAL,JOSE ALVAREZ JUNCO, - 9788430617661  
¡PELAYO!,JOSE ANGEL MAÑAS, - 9788413841854  
MEMORIAS DE UN BEDUINO EN EL CONGRESO DE LOS DIPUTADOS,JOSE ANTONIO LABORDETA, - 9788466645614  
"REGULAR, GRACIAS A DIOS",JOSE ANTONIO LABORDETA, - 9788466646086  
LA TRAVESÍA FINAL,JOSE CALVO POYATO, - 9788491396277  
MOROS Y CRISTIANOS,JOSE JAVIER ESPARZA, - 9788499705156  
VISIGODOS,JOSE JAVIER ESPARZA, - 9788491644460  
NO TE ARREPIENTAS,JOSE JAVIER ESPARZA, - 9788413840413  
"¡SANTIAGO Y CIERRA, ESPAÑA!",JOSE JAVIER ESPARZA, - 9788499709260  
VÍCTIMAS DEL ABSOLUTISMO,JOSE LUIS GOMEZ URDAÑEZ, - 9788418322150  
LA EDAD DEMOCRÁTICA,JOSE MARIA MICHAVILA, - 9788467066999  
LOS CONFLICTOS SOCIALES EN LA EDAD MEDIA,JOSE MARIA MONSALVO ANTON, - 9788490779651  
LUIS MARTÍNEZ DE IRUJO,JOSE MIGUEL HERNANDEZ BARRAL, - 9788413844343  
LA VIDA COTIDIANA EN EL ANTIGUO EGIPTO,JOSE MIGUEL PARRA ORTIZ, - 9788490605110  
MOMIAS,JOSE MIGUEL PARRA ORTIZ, - 9788498922776  
LOS VISIGODOS. HIJOS DE UN DIOS FURIOSO,JOSE SOTO CHICA, - 9788412207996  
ANTES DEL ANTIIMPERIALISMO,JOSEP M. FRADERA, - 9788433946010  
EL NAIXEMENT D'UNA COLÒNIA,JOSEP TORRO, - 9788437086774  
LA MALDICIÓN DE TUTANKAMÓN,JOYCE TYLDESLEY, - 9788434405783  
PALEOGRAFÍA Y ESCRITURA HISPÁNICA,JUAN CARLOS GALENDE DIAZ, - 9788490777992  
LA REVOLUCIÓN RUSA CONTADA PARA ESCÉPTICOS,JUAN ESLAVA GALAN, - 9788408170853  
LOS AÑOS DEL MIEDO,JUAN ESLAVA GALAN, - 9788408106258  
LA SEGUNDA GUERRA MUNDIAL CONTADA PARA ESCÉPTICOS,JUAN ESLAVA GALAN, - 9788408136941  
HISTORIA DE ESPAÑA CONTADA PARA ESCÉPTICOS,JUAN ESLAVA GALAN, - 9788408106241  
UN ABUELO ROJO Y OTRO ABUELO FACHA,JUAN SOTO IVARS, - 9788412039146  
MUJERES EN PÚRPURA. SOBERANAS DEL MEDIEVO BIZANTINO,JUDITH HERRIN, - 9788430626007  
EL TERROR ROJO,JULIUS RUIZ, - 9788467006803  
LAS HERMANAS SOONG,JUNG CHANG, - 9788430618521  
EL JINETE PÁLIDO,LAURA SPINNEY, - 9788417067885  
LETIZIA. LA REINA IMPACIENTE,LEONARDO FACCIO, - 9788499927633  
"HITLER, MI VECINO",LION FEUCHTWANGER, - 9788433934956  
"SEGURIDAD NACIONAL, AMENAZAS Y RESPUESTAS",LUIS DE LA CORTE IBAÑEZ, - 9788483569214  
LA DOBLE MUERTE DE UNAMUNO,LUIS GARCIA JAMBRINA, - 9788412351309  
HISTORIA DEL FRANQUISMO,LUIS PALACIOS BAÑUELOS, - 9788418205927  
LA ESCRITURA DE LA HISTORIA EN LA ERA GLOBAL,LYNN HUNT, - 9788411180078  
EL ARTE DE SANAR DE SANTA HILDEGARDA,MANFRED PAWLIK, - 9788467735260  
1936. FRAUDE Y VIOLENCIA EN LAS ELECCIONES DEL FRENTE POPULAR,MANUEL ALVAREZ TARDIO, - 9788467049671  
ELS JUEUS CATALANS,MANUEL FORCANO, - 9788415307297  
UN IMPERIO DE INGENIEROS,MANUEL LUCENA, - 9788430624485  
PASIÓN POR VIVIR,MANUEL MEDINA, - 9788401029585  
"PRÓXIMA ESTACIÓN, CATALUÑA",MANUEL MEDINA, - 9788401347863  
LOS PUEBLOS DE LA PENÍNSULA IBÉRICA ANTES DE ROMA,MANUEL SALINAS DE FRIAS, - 9788491717737  
UNA HISTORIA DE LA GUERRA CIVIL QUE NO VA A GUSTAR A NADIE,MANUELA GUL, - 9788408110972  
PACK TRILOGÍA MARSELLESA,MARCOS ROITMAN ROSENMAN, - 9788446047209  
BARCO DE ESCLAVOS,MARCUS REDIKER, - 9788412442700  
EN EL PISO DE ABAJO,MARGARET POWELL, - 9788484288671  
EL DICTADOR,MARIA SEOANE, - 9789500755085  
COLÓN Y EL MAPA TEMPLARIO,MARIANO F. URRESTI, - 9788411311403  
ASIRIA. LA PREHISTORIA DEL IMPERIALISMO,MARIO LIVERANI, - 9788413640747  
HISTORIA DE ETIOPÍA,MARIO LOZANO ALONSO, - 9788413524504  
UNA HISTORIA BREVE DE RUSIA,MARK GALEOTTI, - 9788412528565  
TENEMOS QUE HABLAR DE PUTIN,MARK GALEOTTI, - 9788412528589  
PASIONES CARNALES,MARTA ROBLES, - 9788467061222  
ÑAMÉRICA,MARTIN CAPARROS, - 9788439738190  
LA RISA EN LA ANTIGUA ROMA,MARY BEARD, - 9788413627434  
IRÁN,MICHAEL AXWORTHY, - 9788415427384  
LA VIDA COTIDIANA EN ROMA,MIGUEL ANGEL NOVILLO LOPEZ, - 9788415930259  
LA HISTORIA PERDIDA,NACHO ARES, - 9788441440791  
EL MAR NEGRO,NEAL ASCHERSON, - 9788490662946  
UN AÑO EN LA ANTIGUA ROMA,NESTOR F. MARQUES, - 9788467051940  
HUMO HUMANO,NICHOLSON BAKER, - 9788499929354  
POLVO ERES,NIEVES CONCOSTRINA, - 9788499705316  
PRETÉRITO IMPERFECTO,NIEVES CONCOSTRINA, - 9788491644736  
LA HISTORIA DE RUSIA,ORLANDO FIGES, - 9788430625468  
VIAJE AL PAÍS DE LOS BLANCOS,OUSMAN UMAR, - 9788401022951  
LA SECRETA DE FRANCO,PABLO ALCANTARA, - 9788467065794  
EL HOLOCAUSTO ESPAÑOL,PAUL PRESTON, - 9788499920498  
EL GRAN MANIPULADOR,PAUL PRESTON, - 9788418619434  
LA GUERRA CIVIL ESPAÑOLA,PAUL PRESTON, - 9788499891507  
LA DESTRUCCIÓN DE LA DEMOCRACIA EN ESPAÑA,PAUL PRESTON, - 9788499929224  
EL POLÍMATA,PETER BURKE, - 9788413625027  
EL SACRO IMPERIO ROMANO GERMÁNICO,PETER H. WILSON, - 9788412221213  
FRANCO CONFIDENCIAL,PILAR EYRE, - 9788423347513  
"YO, EL REY",PILAR EYRE, - 9788491649724  
LA SEGUNDA REPÚBLICA ESPAÑOLA,PIO MOA, - 9788491649632  
LA VITORIA DE MAGALLANES,RAMON JIMENEZ FRAILE, - 9788419137593  
EL MUNDO CONTEMPORÁNEO,RAMON VILLARES, - 9788430601271  
HISTORIA DE GALICIA,RAMON VILLARES, - 9788498655551  
HISTORIA DE CHINA CONTEMPORÁNEA,RAUL RAMIREZ RUIZ, - 9788491717744  
HITLER Y LAS TEORÍAS DE LA CONSPIRACIÓN,RICHARD J. EVANS, - 9788491993230  
EL TERCER REICH EN GUERRA,RICHARD J. EVANS, - 9788499425856  
DICTADORAS,ROSA MONTERO, - 9789500745802  
ANTIGUO EGIPTO,SALIMA IKRAM, - 9788418757600  
LA HISTORIA EMPIEZA EN SUMER,SAMUEL NOAH KRAMER, - 9788413628776  
LAS CONFESIONES DE SAN AGUSTÍN,SAN AGUSTIN, - 9788026835806  
HISTORIAS DE LAS DOS ESPAÑAS,SANTOS JULIA, - 9788430615704  
NUEVA HISTORIA DE LA REVOLUCIÓN RUSA,SEAN MCMEEKIN, - 9788430618415  
OTRA CATALUÑA,SERGIO VILA SANJUAN, - 9788423354405  
EN DEFENSA DE ESPAÑA: DESMONTANDO MITOS Y LEYENDAS NEGRAS,STANLEY G. PAYNE, - 9788467050912  
MOMENTOS ESTELARES DE LA HUMANIDAD,STEFAN ZWEIG, - 9788415689423  
MAGALLANES,STEFAN ZWEIG, - 9788412083064  
LA LUCHA CONTRA EL DEMONIO,STEFAN ZWEIG, - 9788417902650  
CASTELLIO CONTRA CALVINO,STEFAN ZWEIG, - 9788415689416  
CAPACIDADES FÍSICAS BÁSICAS,SUE HEE KIM, - 9788499935294  
VOCES DE CHERNÓBIL,SVETLANA ALEKSIEVICH, - 9788490626993  
LA HISTORIA PROHIBIDA DEL SÁHARA ESPAÑOL,TOMAS BARBULO, - 9788499425962  
"ELCANO, VIAJE A LA HISTORIA. EDICIÓN V CENTENARIO",TOMAS MAZON SERRANO, - 9788413394312  
EL NAZI DE SIURANA,TONI ORENSANZ, - 9788415642923  
SOBREVIVIR A LA MODELO,VALEN BAILON, - 9788494787720  
